time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1667332965000290800,119.06429077148438,234.44827758334577,1.3462732804163335,30.495399770171886,35.954349430130094,265.8582774307579,75.30452909946062,4.803692520042218,3.278578229306002,-83.93810394991878,1.6721993146182474
1667332966000291800,120.06429174804687,234.89646466169506,0.9940529023281174,30.042825043781285,35.9543514083339,266.3064645091072,78.36936612525852,4.7875877841620005,3.3020509144668906,-83.93809485948601,1.1865808178500437
1667332967000293600,121.06429370117188,234.8604946648702,0.7576659206643295,29.25668976540162,35.95435512216957,266.2704945122823,85.71378999244763,4.779386630465825,3.3139101480446578,-83.93807480919669,1.223629779890705
1667332968000295700,122.06429565429687,234.46653562784195,1.1888885889788365,30.51493254134009,35.954364264599164,265.87653547525406,77.74180143722319,4.769730900853462,3.3277926867869128,-83.9380581153632,1.3441485105710982
1667332969000297000,123.064296875,234.85299537423998,0.7609212289097038,27.977585555828785,35.95436192312386,266.2629952216521,88.78530273691722,4.763105792780796,3.3372683799129588,-83.93803902375335,1.2563131218045487
1667332970000299000,124.06429907226563,234.83863104321063,1.091505512988445,28.700847027730543,35.954369832536415,266.24863089062274,81.52872589264268,4.761894185994599,3.3389969742693197,-83.93802174462232,1.2344429804478698
1667332971000300500,125.06430053710938,234.7930273162201,0.6851647375724346,28.82217005403006,35.95438069168047,266.2030271636322,70.67618910536316,4.7622822683881285,3.338443444029696,-83.9380036943664,1.2414928975900263
1667332972000302000,126.06430200195312,234.09188119415194,1.0542622699904,33.087888953082924,35.954372980262235,265.50188104156405,100.37664951599689,4.75658899666493,3.3465501863254565,-83.93798891237604,1.1349436777482769
1667332973000303900,127.06430395507813,234.66017845645547,1.3461885328519432,36.7424630165764,35.954382186392785,266.0701783038676,95.5921453880782,4.7670248225186285,3.3316679567868217,-83.93796954846215,1.3041095515762835
1667332974000305000,128.06430493164063,235.200900927186,1.3789352767863812,35.43020911592794,35.954400838101364,266.6109007745981,71.34510666023269,4.76376377873672,3.3363290744746514,-83.93794852529909,1.5467876377310716
1667332975000306700,129.064306640625,235.41082279197872,1.276579228845741,29.462082528169788,35.954413065515524,266.8208226393908,60.98911702407964,4.7576513881690925,3.3450396561836957,-83.93792750815796,1.8602078903792483
1667332976000308500,130.06430859375,235.14085070602596,0.725792121501596,31.669840837206753,35.95442591938581,266.55085055343807,40.3242941887632,4.752916677724059,3.351763727860502,-83.93792609492117,1.2450453482946204
1667332977000310000,131.06431005859375,235.25550065841526,1.2417922244593838,40.81257644157356,35.95443710230678,266.66550050582737,39.3394840182712,4.7637577728812674,3.3363376498942885,-83.93791291827876,1.4270314701100704
1667332978000311800,132.06431176757812,235.39091802947223,1.245552532568493,31.994786693676637,35.954446108828776,266.80091787688434,54.63045856111947,4.76595105158245,3.3332038051563817,-83.93788050493617,1.7899421328858565
1667332979000314000,133.06431420898437,235.43784205429256,0.8542515098736507,31.84985124423449,35.95444210794786,266.84784190170467,70.52373809717162,4.7494503328516915,3.3566737357931884,-83.93786839850699,1.195279751577929
1667332980000315100,134.0643151855469,235.30986741185188,1.3188205721291129,32.9375485221335,35.95444606446846,266.719867259264,72.86389791983066,4.766273171914851,3.3327431769450184,-83.93784628754325,1.561987071089393
1667332981000317000,135.06431689453126,235.28922509215772,0.5975850653359223,32.68270031030686,35.95445144934697,266.69922493956983,71.6645208692762,4.7620530630993,3.338770380995886,-83.9378360410511,1.1461343030622726
1667332981999807000,136.06380688476563,235.66295127850026,0.7957987656651027,28.560959923236204,35.95446971011882,267.07295112591237,55.18598055703135,4.750331804690164,3.3554261693766887,-83.93782414888511,1.3099364258891166
1667332982999805000,137.06380493164062,235.6690319115296,1.269596811917302,36.76233929885569,35.95447803808765,267.0790317589417,54.419220548406166,4.7572706521483825,3.3455811117048913,-83.93780566920607,1.4842558639944272
1667332983999809500,138.0638095703125,235.6903723720461,1.1721235236269258,38.45705505342746,35.95447589517013,267.1003722194582,70.12346621522224,4.752736540166934,3.3520191545620497,-83.93779088651068,1.1438235572415878
1667332984999812600,139.0638125,235.78850619774312,1.3708497720935238,35.427421742400874,35.954478328582674,267.1985060451552,76.38603369027423,4.760583559639453,3.3408653376751642,-83.93776885240048,1.4362514743078552
